county;percother;popadults;perchsd;percollege;percprof;poppovertyknown;percpovertyknown;percbelowpoverty;percchildbelowpovert;percadultpoverty;percelderlypoverty;inmetro;category
EAU CLAIRE;0.17843936;49336;827.894.438;298.544.673;755.634.831;80458;944.531.186;159.437.222;187.430.181;167.685.011;857.514.739;1;HAU
FLORENCE;0.13071895;3057;75.171.737;156.035.329;278.050.376;4513;983.224.401;131.398.183;188.417.618;103.640.257;12.605.042;0;AAR
FOND DU LAC;0.35633804;56764;775.068.706;208.318.653;366.253.259;87203;968.029.484;764.423.242;101.088.839;625.657.867;804.270.463;0;AAR
FOREST;0.14813127;5608;641.226.819;135.699.001;22.467.903;8581;97.778.031;217.806.782;31.751.365;196.937.066;14.349.332;0;LHR
GRANT;0.08119519;29160;778.806.584;216.803.841;524.348.422;46314;940.118.545;137.150.754;151.552.225;129.747.224;136.286.394;0;AAR
GREEN;0.08569828;19708;767.759.286;198.751.776;334.381.977;29821;982.926.267;783.675.933;102.412.605;684.171.136;720.466.184;0;AAR
GREEN LAKE;0.53080264;12453;745.523.167;173.050.671;333.253.031;18351;983.915.072;99.722.086;135.313.531;835.054.909;942.870.413;0;AAR
IOWA;0.04962779;12747;805.993.567;20.483.251;394.602.652;19890;987.096.774;999.497.235;124.825.175;810.377.358;116.246.499;0;HAR
IRON;0.06500894;4447;747.020.463;187.317.293;267.596.132;6021;97.854.705;130.709.185;156.467.854;121.790.423;126.623.377;0;AAR
JACKSON;0.13865445;10800;688.240.741;153.240.741;243.518.519;16244;979.262.117;146.577.198;206.008.584;123.831.216;125.467.626;0;AAR
JEFFERSON;0.63290206;42214;769.649.879;221.656.323;473.302.696;64692;954.398.596;71.956.347;799.721.432;672.824.313;746.902.655;0;ALR
JUNEAU;0.31408776;14210;705.840.957;143.912.738;247.712.878;21340;985.681.293;127.835.052;147.692.308;111.914.696;139.638.682;0;AAR
KENOSHA;199.561.557;80794;75.087.259;203.282.422;406.094.512;125494;979.037.455;102.140.341;156.521.483;856.810.674;694.973.343;1;AAU
KEWAUNEE;0.06886323;11945;735.454.165;143.909.586;215.989.954;18662;98.855.811;821.991.212;98.546.347;605.500.821;116.542.392;0;AAR
LA CROSSE;0.14299722;58586;825.760.421;304.885.126;734.475.813;93254;952.504.494;134.085.401;14.452.894;140.575.375;952.813.067;1;HAU
LAFAYETTE;0.08086589;10181;770.356.547;164.620.371;260.288.773;15911;989.736.253;1.102.382;133.161.512;961.466.981;112.437.186;0;AAR
LANGLADE;0.2153294;12933;714.992.654;136.317.946;289.955.927;19234;986.106.127;14.625.143;219.306.834;115.954.206;127.876.683;0;AAR
LINCOLN;0.08520728;17567;710.593.727;174.417.943;344.395.742;26273;973.326.418;104.175.389;137.597.459;859.200.576;108.202.124;0;AAR
MANITOWOC;0.23252633;52215;7.540.745;190.711.481;288.805.899;79142;984.096.194;833.564.984;117.911.918;697.293.058;729.801.829;0;AAR
MARATHON;0.1152513;72367;759.448.367;21.877.375;405.709.785;114112;988.838.821;791.853.617;103.436.458;621.167.941;955.842.757;1;AAU
MARINETTE;0.11591201;26699;736.094.985;154.275.441;230.720.252;39419;972.156.457;116.593.521;151.330.585;960.642.411;121.661.029;0;AAR
MARQUETTE;0.39769499;8499;69.714.084;140.016.473;257.677.374;12182;988.718.448;116.072.894;156.430.268;9.678.511;114.586.466;0;AAR
MENOMINEE;0.1285347;1922;626.951.093;733.610.822;0.52029136;3820;982.005.141;486.910.995;643.084.767;433.124.644;182.186.235;0;LHR
MILWAUKEE;235.438.222;610538;762.604.457;253.558.337;620.125.201;933532;973.164.108;158.734.784;277.980.262;128.895.894;781.374.777;1;AAU
MONROE;0.17743565;23025;757.263.844;173.724.213;284.473.398;35485;968.662.135;130.026.772;180.921.979;105.513.257;116.072.842;0;AAR
OCONTO;0.11248594;19760;694.078.947;134.311.741;237.854.251;29750;984.251.969;120.941.176;141.166.317;963.442.252;155.886.158;0;AAR
ONEIDA;0.06944664;22153;775.967.138;219.338.239;497.449.555;30890;975.093.911;961.799.935;139.667.073;810.961.622;8.559.414;0;AAR
OUTAGAMIE;0.2789837;86689;815.328.358;248.578.251;436.272.191;137496;978.549.569;620.236.225;820.300.676;502.296.542;685.592.403;1;HLU
OZAUKEE;0.13455809;47058;868.991.457;374.197.798;936.503.889;71600;983.097.857;21.801.676;191.895.478;19.385.043;354.706.685;1;HLU
PEPIN;0.11256508;4578;710.353.866;157.492.355;281.782.438;6944;977.064.866;126.152.074;148.821.218;101.239.669;151.315.789;0;AAR
PIERCE;0.17701816;18623;810.717.929;24.464.372;542.340.117;30557;932.611.018;104.165.985;110.331.339;103.370.278;947.141.832;1;HAU
POLK;0.08914963;22515;779.835.665;185.920.497;339.329.336;34105;980.789.693;118.223.134;160.155.849;975.664.969;111.643.221;0;AAR
PORTAGE;0.37619086;35004;797.337.447;246.343.275;601.931.208;57805;941.372.852;128.950.783;135.589.979;131.821.824;105.094.407;0;AAR
PRICE;0.06410256;10414;73.324.371;15.527.175;281.352.026;15271;978.910.256;108.899.221;125.549.585;814.521.452;147.695.725;0;AAR
RACINE;252.065.313;110593;763.809.644;229.065.131;493.611.711;172392;98.490.579;101.512.831;15.556.437;842.926.105;681.166.261;1;AAU
RICHLAND;0.14839336;11309;73.720.046;174.993.368;314.793.527;17254;984.761.144;134.403.617;157.928.118;126.371.115;123.541.888;0;AAR
ROCK;0.51250806;88072;781.814.879;199.064.402;437.028.795;135919;97.425.991;987.720.628;152.857.608;814.384.062;68.982.497;1;AAU
RUSK;0.20558392;9704;703.112.119;167.559.769;301.937.345;14748;978.048.942;165.785.191;207.524.272;15.806.851;131.289.074;0;AAR
ST CROIX;0.08557044;30873;844.232.825;285.880.867;538.010.559;49388;982.826.212;640.236.495;789.210.789;497.251.286;930.721.916;1;HLU
SAUK;0.20223523;30347;746.597.687;19.833.921;397.073.846;46193;983.352.847;969.194.467;131.041.039;814.808.827;914.033.299;0;AAR
SAWYER;0.13398209;9600;737.395.833;179.479.167;404.166.667;13897;979.973.204;205.440.023;290.735.695;191.953.682;141.793.182;0;AHR
SHAWANO;0.08612105;24271;69.453.257;148.077.953;245.560.546;36389;979.330.947;112.973.701;14.932.266;910.511.287;119.495.299;0;AAR
SHEBOYGAN;0.61611329;66938;774.298.605;208.371.926;383.638.591;101088;973.150.938;648.642.767;867.791.176;514.637.904;723.178.521;1;ALU
TAYLOR;0.04761653;11676;688.078.109;150.650.908;30.061.665;18603;984.233.638;12.664.624;159.650.375;10.265.319;138.896.828;0;AAR
TREMPEALEAU;0.05145865;16648;716.842.864;175.516.579;287.121.576;24533;971.103.986;106.754.168;129.199.756;78.841.449;145.652.992;0;AAR
VERNON;0.07026584;16883;69.211.633;189.421.311;362.494.817;25087;979.310.614;158.249.292;212.011.051;134.496.431;145.714.286;0;AAR
VILAS;0.05647484;12815;761.451.424;192.118.611;431.525.556;17446;985.260.067;147.369.024;230.433.667;142.519.778;917.322.835;0;AAR
WALWORTH;1.472;46742;790.210.089;231.569.039;608.232.425;71553;95.404;964.180.398;869.961.284;109.266.098;689.418.232;0;AAR
WASHBURN;0.05082777;9297;748.521.028;190.168.872;402.280.305;13532;982.573.337;158.660.952;214.185.982;136.424.832;14.329.455;0;AAR
WASHINGTON;0.20245888;59583;813.403.152;233.909.001;401.456.791;94143;987.569.235;323.762.786;406.985.404;258.450.033;428.088.917;1;HLU
WAUKESHA;0.63501961;195837;879.889.908;353.967.841;766.709.049;299802;983.876.737;31.210.599;378.581.963;259.006.144;408.547.929;1;HLU
WAUPACA;0.36873156;30109;72.137.899;165.498.688;313.859.643;44412;963.300.364;848.869.675;10.071.411;695.379.864;10.338.641;0;AAR
WAUSHARA;0.76863554;13316;700.060.078;15.064.584;262.090.718;19163;988.547.846;137.869.853;200.507.078;116.957.841;118.045.576;0;AAR
WINNEBAGO;0.27651083;88960;806.193.795;249.955.036;565.984.712;133950;954.603.763;880.403.135;105.920.306;866.058.681;666.109.376;1;HAU
WOOD;0.21058352;46796;782.951.534;216.663.817;45.837.251;72685;987.500.849;852.583.064;111.629.965;737.565.628;788.291.776;0;AAR
